0,1,2,3,4,5,6,7,8,9,SourceFile,TableIndex,10,11,12
PIANA DEGLI ALBANESI,BELICE DESTRO,"32,80","23,66","24,61","-0,95","23,90",IRR. - POT. - ELETTR.,E.N.E.L,,inv_2014-06.pdf,0,,,
POMA,JATO,"72,50","69,65","72,12","-2,47","67,65",IRR. - POT.,DIP.TO DELL'ACQUA E DEI RIFIUTI,,inv_2014-06.pdf,0,,,
ARANCIO,CARBOJ,"34,80","27,43","27,91","-0,48","26,51",IRRIGUO,DIP.TO DELL'ACQUA E DEI RIFIUTI,,inv_2014-06.pdf,0,,,
NICOLETTI,CRISA',"20,20","12,92","13,02","-0,10","12,76",IRRIGUO,DIP.TO DELL'ACQUA E DEI RIFIUTI,,inv_2014-06.pdf,0,,,
S. ROSALIA,IRMINIO,"20,00","19,93","20,03","-0,10","16,04",IRRIGUO,DIP.TO DELL'ACQUA E DEI RIFIUTI,,inv_2014-06.pdf,0,,,
TRINITA',DELIA,"18,00","8,92","9,10","-0,18","11,67",IRRIGUO,DIP.TO DELL'ACQUA E DEI RIFIUTI,,inv_2014-06.pdf,0,,,
OGLIASTRO,GORNALUNGA,"110,00","40,10","40,30","-0,20","47,62",IRRIGUO,C.B.7- CALTAGIRONE,,inv_2014-06.pdf,0,,,
RUBINO,BIRGI,"11,50","11,23","11,46","-0,23","10,89",IRRIGUO,C.B. 1 - TRAPANI,,inv_2014-06.pdf,0,,,
COMUNELLI,COMUNELI,"8,00","6,24","6,44","-0,20","6,38",IRRIGUO,DIP.TO DELL'ACQUA E DEI RIFIUTI,,inv_2014-06.pdf,0,,,
CIMIA,CIMIA,"10,00","5,60","5,04","0,56","9,43",IRRIGUO,DIP.TO DELL'ACQUA E DEI RIFIUTI,,inv_2014-06.pdf,0,,,
DISUERI,GELA,"23,60","7,46","8,29","-0,83","4,21",IRRIGUO (*),DIP.TO DELL'ACQUA E DEI RIFIUTI,(*),inv_2014-06.pdf,0,,,
ANCIPA,TROINA,"30,40","26,01","26,68","-0,67","23,42",IRR. - POT. - ELETTR.,E.N.E.L.,,inv_2014-06.pdf,0,,,
POZZILLO,SALSO (SIMETO),"150,50","68,03","66,52","1,51","93,39",IRR. - ELETTR.,E.N.E.L.,,inv_2014-06.pdf,0,,,
FANACO,PLATANI,"20,70","18,72","19,20","-0,48","18,92",POTABILE,SICILIACQUE,,inv_2014-06.pdf,0,,,
GARCIA,BELICE SINISTRO,"80,00","60,52","59,53","0,99","59,36",POT. - IRR.,C.B. 2 - PALERMO,,inv_2014-06.pdf,0,,,
CASTELLO,MAGAZZOLO,"21,00","20,16","19,87","0,29","20,17",POT. - IRR.,DIP.TO DELL'ACQUA E DEI RIFIUTI,,inv_2014-06.pdf,0,,,
PRIZZI,RAIA,"9,20","7,96","7,97","-0,01","7,03",IRR. - POT. - ELETTR.,E.N.E.L.,,inv_2014-06.pdf,0,,,
OLIVO,OLIVO,"15,00","4,60","4,82","-0,22","4,67",IRRIGUO,DIP.TO DELL'ACQUA E DEI RIFIUTI,,inv_2014-06.pdf,0,,,
LEONE,VERDURA,"4,19","3,98","4,19","-0,21","4,04",POT. - ELETTR.,SICILIACQUE,,inv_2014-06.pdf,0,,,
S. GIOVANNI,NARO,"16,30","15,68","15,92","-0,24","15,32",IRRIGUO,DIP.TO DELL'ACQUA E DEI RIFIUTI,,inv_2014-06.pdf,0,,,
GORGO LAGO,FOSSO GURRA,"3,41","1,34","1,30","0,04","0,74",IRRIGUO,DIP.TO DELL'ACQUA E DEI RIFIUTI,,inv_2014-06.pdf,0,,,
ROSAMARINA,S. LEONARDO,"100,00","98,88","101,58","-2,70","95,81",POT. - IRR.,DIP.TO DELL'ACQUA E DEI RIFIUTI,,inv_2014-06.pdf,0,,,
Scarto anno precedente,Scarto mese preced.,,,,,,,,,inv_2014-06.pdf,0,,,
-3%,-1%,TOTALI,"568,17","576,35","-8,18","587,86",,,,inv_2014-06.pdf,0,,,
,,,,,,,,(*)=volume al netto interrimento,,inv_2014-06.pdf,0,,,
PROSPETTO VOLUMI INVASATI NELLE DIGHE DELLA SICILIA,,,,,,,,,,inv_2014-09.pdf,0,,,
D I G A,CORSO D'ACQUA,"CAPACITA'
TOTALE D'INVASO
(Mmc)",VOLUME Mmc,,,,UTILIZZAZIONE,ENTE GESTORE,,inv_2014-09.pdf,0,,,
,,,"settembre
2014","agosto
2014","scarto
mese prec.","settembre
2013",,,,inv_2014-09.pdf,0,,,
SCANZANO,ELEUTERIO,"18,00","4,73","5,61","-0,88","4,80",IRR. - POT.,DIP.TO DELL'ACQUA E DEI RIFIUTI,,inv_2014-09.pdf,0,,,
PIANA DEGLI ALBANESI,BELICE DESTRO,"32,80","18,36","21,15","-2,79","18,52",IRR. - POT. - ELETTR.,E.N.E.L,,inv_2014-09.pdf,0,,,
POMA,JATO,"72,50","51,67","56,64","-4,97","48,89",IRR. - POT.,DIP.TO DELL'ACQUA E DEI RIFIUTI,,inv_2014-09.pdf,0,,,
ARANCIO,CARBOJ,"34,80","23,71","24,18","-0,47","22,40",IRRIGUO,DIP.TO DELL'ACQUA E DEI RIFIUTI,,inv_2014-09.pdf,0,,,
NICOLETTI,CRISA',"20,20","11,73","12,87","-1,14","11,52",IRRIGUO,DIP.TO DELL'ACQUA E DEI RIFIUTI,,inv_2014-09.pdf,0,,,
S. ROSALIA,IRMINIO,"20,00","17,47","18,54","-1,07","14,05",IRRIGUO,DIP.TO DELL'ACQUA E DEI RIFIUTI,,inv_2014-09.pdf,0,,,
TRINITA',DELIA,"18,00","5,09","6,47","-1,38","6,58",IRRIGUO,DIP.TO DELL'ACQUA E DEI RIFIUTI,,inv_2014-09.pdf,0,,,
OGLIASTRO,GORNALUNGA,"110,00","23,14","29,49","-6,35","27,05",IRRIGUO,C.B.7- CALTAGIRONE,,inv_2014-09.pdf,0,,,
RUBINO,BIRGI,"11,50","8,08","8,90","-0,82","6,97",IRRIGUO,C.B. 1 - TRAPANI,,inv_2014-09.pdf,0,,,
COMUNELLI,COMUNELI,"8,00","4,81","5,58","-0,77","5,16",IRRIGUO,DIP.TO DELL'ACQUA E DEI RIFIUTI,,inv_2014-09.pdf,0,,,
CIMIA,CIMIA,"10,00","6,66","7,45","-0,79","7,36",IRRIGUO,DIP.TO DELL'ACQUA E DEI RIFIUTI,,inv_2014-09.pdf,0,,,
DISUERI,GELA,"23,60","0,32","3,08","-2,76","0,85",IRRIGUO (*),DIP.TO DELL'ACQUA E DEI RIFIUTI,(*),inv_2014-09.pdf,0,,,
ANCIPA,TROINA,"30,40","9,91","14,24","-4,33","9,17",IRR. - POT. - ELETTR.,E.N.E.L.,,inv_2014-09.pdf,0,,,
POZZILLO,SALSO (SIMETO),"150,50","27,21","47,50","-20,29","32,90",IRR. - ELETTR.,E.N.E.L.,,inv_2014-09.pdf,0,,,
FANACO,PLATANI,"20,70","14,58","16,14","-1,56","15,61",POTABILE,SICILIACQUE,,inv_2014-09.pdf,0,,,
GARCIA,BELICE SINISTRO,"80,00","44,51","53,42","-8,91","44,57",POT. - IRR.,C.B. 2 - PALERMO,,inv_2014-09.pdf,0,,,
CASTELLO,MAGAZZOLO,"21,00","12,16","15,14","-2,98","12,04",POT. - IRR.,DIP.TO DELL'ACQUA E DEI RIFIUTI,,inv_2014-09.pdf,0,,,
PRIZZI,RAIA,"9,20","5,37","6,48","-1,11","5,63",IRR. - POT. - ELETTR.,E.N.E.L.,,inv_2014-09.pdf,0,,,
OLIVO,OLIVO,"15,00","3,23","2,96","0,27","2,99",IRRIGUO,DIP.TO DELL'ACQUA E DEI RIFIUTI,,inv_2014-09.pdf,0,,,
LEONE,VERDURA,"4,19","2,74","3,16","-0,42","3,07",POT. - ELETTR.,SICILIACQUE,,inv_2014-09.pdf,0,,,
S. GIOVANNI,NARO,"16,30","12,59","13,65","-1,06","11,93",IRRIGUO,DIP.TO DELL'ACQUA E DEI RIFIUTI,,inv_2014-09.pdf,0,,,
GORGO LAGO,FOSSO GURRA,"3,41","0,75","0,98","-0,23","0,51",IRRIGUO,DIP.TO DELL'ACQUA E DEI RIFIUTI,,inv_2014-09.pdf,0,,,
ROSAMARINA,S. LEONARDO,"100,00","79,56","86,80","-7,24","76,74",POT. - IRR.,DIP.TO DELL'ACQUA E DEI RIFIUTI,,inv_2014-09.pdf,0,,,
Scarto anno precedente,Scarto mese preced.,,,,,,,,,inv_2014-09.pdf,0,,,
0%,-16%,TOTALI,"388,38","460,43","-72,05","389,31",,,,inv_2014-09.pdf,0,,,
,,,,,,,,(*)=volume al netto interrimento,,inv_2014-09.pdf,0,,,
PROSPETTO VOLUMI INVASATI NELLE DIGHE DELLA SICILIA,,,,,,,,,,inv_2014-08.pdf,0,,,
D I G A,CORSO D'ACQUA,"CAPACITA'
TOTALE D'INVASO
(Mmc)",VOLUME Mmc,,,,UTILIZZAZIONE,ENTE GESTORE,,inv_2014-08.pdf,0,,,
,,,"agosto
2014","luglio
2014","scarto
mese prec.","agosto
2013",,,,inv_2014-08.pdf,0,,,
SCANZANO,ELEUTERIO,"18,00","5,61","7,33","-1,72","5,61",IRR. - POT.,DIP.TO DELL'ACQUA E DEI RIFIUTI,,inv_2014-08.pdf,0,,,
PIANA DEGLI ALBANESI,BELICE DESTRO,"32,80","21,15","22,27","-1,12","20,72",IRR. - POT. - ELETTR.,E.N.E.L,,inv_2014-08.pdf,0,,,
POMA,JATO,"72,50","56,64","64,76","-8,12","55,92",IRR. - POT.,DIP.TO DELL'ACQUA E DEI RIFIUTI,,inv_2014-08.pdf,0,,,
ARANCIO,CARBOJ,"34,80","24,18","25,70","-1,52","22,90",IRRIGUO,DIP.TO DELL'ACQUA E DEI RIFIUTI,,inv_2014-08.pdf,0,,,
NICOLETTI,CRISA',"20,20","12,87","12,65","0,22","11,82",IRRIGUO,DIP.TO DELL'ACQUA E DEI RIFIUTI,,inv_2014-08.pdf,0,,,
S. ROSALIA,IRMINIO,"20,00","18,54","19,34","-0,80","14,84",IRRIGUO,DIP.TO DELL'ACQUA E DEI RIFIUTI,,inv_2014-08.pdf,0,,,
TRINITA',DELIA,"18,00","6,47","8,86","-2,39","6,96",IRRIGUO,DIP.TO DELL'ACQUA E DEI RIFIUTI,,inv_2014-08.pdf,0,,,
OGLIASTRO,GORNALUNGA,"110,00","29,49","38,28","-8,79","35,39",IRRIGUO,C.B.7- CALTAGIRONE,,inv_2014-08.pdf,0,,,
RUBINO,BIRGI,"11,50","8,90","10,78","-1,88","7,94",IRRIGUO,C.B. 1 - TRAPANI,,inv_2014-08.pdf,0,,,
COMUNELLI,COMUNELI,"8,00","5,58","5,95","-0,37","5,57",IRRIGUO,DIP.TO DELL'ACQUA E DEI RIFIUTI,,inv_2014-08.pdf,0,,,
CIMIA,CIMIA,"10,00","7,45","6,79","0,66","8,56",IRRIGUO,DIP.TO DELL'ACQUA E DEI RIFIUTI,,inv_2014-08.pdf,0,,,
DISUERI,GELA,"23,60","3,08","5,68","-2,60","2,51",IRRIGUO (*),DIP.TO DELL'ACQUA E DEI RIFIUTI,(*),inv_2014-08.pdf,0,,,
ANCIPA,TROINA,"30,40","14,24","22,91","-8,67","11,45",IRR. - POT. - ELETTR.,E.N.E.L.,,inv_2014-08.pdf,0,,,
POZZILLO,SALSO (SIMETO),"150,50","47,50","61,00","-13,50","60,23",IRR. - ELETTR.,E.N.E.L.,,inv_2014-08.pdf,0,,,
FANACO,PLATANI,"20,70","16,14","17,59","-1,45","17,00",POTABILE,SICILIACQUE,,inv_2014-08.pdf,0,,,
GARCIA,BELICE SINISTRO,"80,00","53,42","59,66","-6,24","50,61",POT. - IRR.,C.B. 2 - PALERMO,,inv_2014-08.pdf,0,,,
CASTELLO,MAGAZZOLO,"21,00","15,14","18,42","-3,28","14,25",POT. - IRR.,DIP.TO DELL'ACQUA E DEI RIFIUTI,,inv_2014-08.pdf,0,,,
PRIZZI,RAIA,"9,20","6,48","7,48","-1,00","0,63",IRR. - POT. - ELETTR.,E.N.E.L.,,inv_2014-08.pdf,0,,,
OLIVO,OLIVO,"15,00","2,96","4,41","-1,45","2,66",IRRIGUO,DIP.TO DELL'ACQUA E DEI RIFIUTI,,inv_2014-08.pdf,0,,,
LEONE,VERDURA,"4,19","3,16","3,58","-0,42","3,50",POT. - ELETTR.,SICILIACQUE,,inv_2014-08.pdf,0,,,
S. GIOVANNI,NARO,"16,30","13,65","15,00","-1,35","12,84",IRRIGUO,DIP.TO DELL'ACQUA E DEI RIFIUTI,,inv_2014-08.pdf,0,,,
GORGO LAGO,FOSSO GURRA,"3,41","0,98","1,21","-0,23","0,64",IRRIGUO,DIP.TO DELL'ACQUA E DEI RIFIUTI,,inv_2014-08.pdf,0,,,
ROSAMARINA,S. LEONARDO,"100,00","86,80","93,84","-7,04","83,54",POT. - IRR.,DIP.TO DELL'ACQUA E DEI RIFIUTI,,inv_2014-08.pdf,0,,,
Scarto anno precedente,Scarto mese preced.,,,,,,,,,inv_2014-08.pdf,0,,,
1%,-14%,TOTALI,"460,43","533,49","-73,06","456,09",,,,inv_2014-08.pdf,0,,,
,,,,,,,,(*)=volume al netto interrimento,,inv_2014-08.pdf,0,,,
PROSPETTO VOLUMI INVASATI NELLE DIGHE DELLA SICILIA,,,,,,,,,,inv_2014-03.pdf,0,,,
D I G A,CORSO D'ACQUA,"CAPACITA'
TOTALE D'INVASO
(Mmc)",VOLUME Mmc,,,,UTILIZZAZIONE,ENTE GESTORE,,inv_2014-03.pdf,0,,,
,,,"marzo
2014","febbraio
2014","scarto
mese prec.","marzo
2013",,,,inv_2014-03.pdf,0,,,
SCANZANO,ELEUTERIO,"18,00","8,74","6,87","1,87","10,16",IRR. - POT.,DIP.TO DELL'ACQUA E DEI RIFIUTI,,inv_2014-03.pdf,0,,,
PIANA DEGLI ALBANESI,BELICE DESTRO,"32,80","18,99","17,04","1,95","21,88",IRR. - POT. - ELETTR.,E.N.E.L,,inv_2014-03.pdf,0,,,
POMA,JATO,"72,50","66,39","58,52","7,87","54,96",IRR. - POT.,DIP.TO DELL'ACQUA E DEI RIFIUTI,,inv_2014-03.pdf,0,,,
ARANCIO,CARBOJ,"34,80","26,71","24,71","2,00","26,69",IRRIGUO,DIP.TO DELL'ACQUA E DEI RIFIUTI,,inv_2014-03.pdf,0,,,
NICOLETTI,CRISA',"20,20","13,11","11,38","1,73","12,22",IRRIGUO,DIP.TO DELL'ACQUA E DEI RIFIUTI,,inv_2014-03.pdf,0,,,
S. ROSALIA,IRMINIO,"20,00","20,07","15,53","4,54","13,63",IRRIGUO,DIP.TO DELL'ACQUA E DEI RIFIUTI,,inv_2014-03.pdf,0,,,
TRINITA',DELIA,"18,00","8,18","8,28","-0,10","11,64",IRRIGUO,DIP.TO DELL'ACQUA E DEI RIFIUTI,,inv_2014-03.pdf,0,,,
OGLIASTRO,GORNALUNGA,"110,00","37,56","26,64","10,92","38,93",IRRIGUO,C.B.7- CALTAGIRONE,,inv_2014-03.pdf,0,,,
RUBINO,BIRGI,"11,50","11,44","11,50","-0,06","8,83",IRRIGUO,C.B. 1 - TRAPANI,,inv_2014-03.pdf,0,,,
COMUNELLI,COMUNELI,"8,00","6,26","5,87","0,39","5,70",IRRIGUO,DIP.TO DELL'ACQUA E DEI RIFIUTI,,inv_2014-03.pdf,0,,,
CIMIA,CIMIA,"10,00","5,05","4,83","0,22","5,91",IRRIGUO,DIP.TO DELL'ACQUA E DEI RIFIUTI,,inv_2014-03.pdf,0,,,
DISUERI,GELA,"23,60","6,67","5,68","0,99","3,21",IRRIGUO (*),DIP.TO DELL'ACQUA E DEI RIFIUTI,(*),inv_2014-03.pdf,0,,,
ANCIPA,TROINA,"30,40","13,71","8,61","5,10","23,85",IRR. - POT. - ELETTR.,E.N.E.L.,,inv_2014-03.pdf,0,,,
POZZILLO,SALSO (SIMETO),"150,50","43,26","20,32","22,94","54,02",IRR. - ELETTR.,E.N.E.L.,,inv_2014-03.pdf,0,,,
FANACO,PLATANI,"20,70","19,22","14,60","4,62","19,35",POTABILE,SICILIACQUE,,inv_2014-03.pdf,0,,,
GARCIA,BELICE SINISTRO,"80,00","57,04","60,78","-3,74","65,00",POT. - IRR.,C.B. 2 - PALERMO,,inv_2014-03.pdf,0,,,
CASTELLO,MAGAZZOLO,"21,00","19,69","15,73","3,96","19,37",POT. - IRR.,DIP.TO DELL'ACQUA E DEI RIFIUTI,,inv_2014-03.pdf,0,,,
PRIZZI,RAIA,"9,20","6,45","5,98","0,47","7,55",IRR. - POT. - ELETTR.,E.N.E.L.,,inv_2014-03.pdf,0,,,
OLIVO,OLIVO,"15,00","4,52","3,25","1,27","3,99",IRRIGUO,DIP.TO DELL'ACQUA E DEI RIFIUTI,,inv_2014-03.pdf,0,,,
LEONE,VERDURA,"4,19","3,53","3,86","-0,33","4,19",POT. - ELETTR.,SICILIACQUE,,inv_2014-03.pdf,0,,,
S. GIOVANNI,NARO,"16,30","15,90","14,52","1,38","15,74",IRRIGUO,DIP.TO DELL'ACQUA E DEI RIFIUTI,,inv_2014-03.pdf,0,,,
GORGO LAGO,FOSSO GURRA,"3,41","1,30","1,30","0,00","0,69",IRRIGUO,DIP.TO DELL'ACQUA E DEI RIFIUTI,,inv_2014-03.pdf,0,,,
ROSAMARINA,S. LEONARDO,"100,00","94,33","76,90","17,43","99,30",POT. - IRR.,DIP.TO DELL'ACQUA E DEI RIFIUTI,,inv_2014-03.pdf,0,,,
Scarto anno precedente,Scarto mese preced.,,,,,,,,,inv_2014-03.pdf,0,,,
-4%,20%,TOTALI,"508,12","422,70","85,42","526,81",,,,inv_2014-03.pdf,0,,,
,,,,,,,,(*)=volume al netto interrimento,,inv_2014-03.pdf,0,,,
PROSPETTO VOLUMI INVASATI NELLE DIGHE DELLA SICILIA,,,,,,,,,,inv_2014-12.pdf,0,,,
D I G A,CORSO D'ACQUA,"CAPACITA'
TOTALE D'INVASO
(Mmc)",VOLUME Mmc,,,,UTILIZZAZIONE,ENTE GESTORE,,inv_2014-12.pdf,0,,,
,,,"dicembre
2014","novembre
2014","scarto
mese prec.","dicembre
2013",,,,inv_2014-12.pdf,0,,,
SCANZANO,ELEUTERIO,"18,00","1,97","3,17","-1,20","3,26",IRR. - POT.,DIP.TO DELL'ACQUA E DEI RIFIUTI,,inv_2014-12.pdf,0,,,
PIANA DEGLI ALBANESI,BELICE DESTRO,"32,80","13,00","14,40","-1,40","14,36",IRR. - POT. - ELETTR.,E.N.E.L,,inv_2014-12.pdf,0,,,
POMA,JATO,"72,50","39,43","42,13","-2,70","42,37",IRR. - POT.,DIP.TO DELL'ACQUA E DEI RIFIUTI,,inv_2014-12.pdf,0,,,
ARANCIO,CARBOJ,"34,80","23,09","22,16","0,93","20,83",IRRIGUO,DIP.TO DELL'ACQUA E DEI RIFIUTI,,inv_2014-12.pdf,0,,,
NICOLETTI,CRISA',"20,20","11,16","11,17","-0,01","11,15",IRRIGUO,DIP.TO DELL'ACQUA E DEI RIFIUTI,,inv_2014-12.pdf,0,,,
S. ROSALIA,IRMINIO,"20,00","15,65","15,49","0,16","12,95",IRRIGUO,DIP.TO DELL'ACQUA E DEI RIFIUTI,,inv_2014-12.pdf,0,,,
TRINITA',DELIA,"18,00","3,44","3,79","-0,35","9,83",IRRIGUO,DIP.TO DELL'ACQUA E DEI RIFIUTI,,inv_2014-12.pdf,0,,,
OGLIASTRO(Don Sturzo),GORNALUNGA,"110,00","20,30","19,44","0,86","22,35",IRRIGUO,C.B.7- CALTAGIRONE,,inv_2014-12.pdf,0,,,
RUBINO,BIRGI,"11,50","7,19","7,43","-0,24","7,02",IRRIGUO,C.B. 1 - TRAPANI,,inv_2014-12.pdf,0,,,
COMUNELLI,COMUNELI,"8,00","5,01","4,82","0,19","5,13",IRRIGUO,DIP.TO DELL'ACQUA E DEI RIFIUTI,,inv_2014-12.pdf,0,,,
CIMIA,CIMIA,"10,00","3,08","3,62","-0,54","4,85",IRRIGUO,DIP.TO DELL'ACQUA E DEI RIFIUTI,(**),inv_2014-12.pdf,0,,,
DISUERI,GELA,"23,60","1,26","0,56","0,70","1,83",IRRIGUO (*),DIP.TO DELL'ACQUA E DEI RIFIUTI,(*),inv_2014-12.pdf,0,,,
ANCIPA,TROINA,"30,40","6,21","5,95","0,26","3,59",IRR. - POT. - ELETTR.,E.N.E.L.,,inv_2014-12.pdf,0,,,
POZZILLO,SALSO (SIMETO),"150,50","15,36","14,29","1,07","8,24",IRR. - ELETTR.,E.N.E.L.,,inv_2014-12.pdf,0,,,
FANACO,PLATANI,"20,70","9,21","11,04","-1,83","11,97",POTABILE,SICILIACQUE,,inv_2014-12.pdf,0,,,
GARCIA,BELICE SINISTRO,"80,00","32,87","34,08","-1,21","44,13",POT. - IRR.,C.B. 2 - PALERMO,,inv_2014-12.pdf,0,,,
CASTELLO,MAGAZZOLO,"21,00","7,81","7,73","0,08","11,31",POT. - IRR.,DIP.TO DELL'ACQUA E DEI RIFIUTI,,inv_2014-12.pdf,0,,,
PRIZZI,RAIA,"9,20","1,32","1,90","-0,58","3,10",IRR. - POT. - ELETTR.,E.N.E.L.,,inv_2014-12.pdf,0,,,
OLIVO,OLIVO,"15,00","2,52","2,59","-0,07","1,89",IRRIGUO,DIP.TO DELL'ACQUA E DEI RIFIUTI,,inv_2014-12.pdf,0,,,
LEONE,VERDURA,"4,19","1,77","1,99","-0,22","2,86",POT. - ELETTR.,SICILIACQUE,,inv_2014-12.pdf,0,,,
S. GIOVANNI,NARO,"16,30","12,11","12,03","0,08","12,27",IRRIGUO,DIP.TO DELL'ACQUA E DEI RIFIUTI,,inv_2014-12.pdf,0,,,
GORGO LAGO,FOSSO GURRA,"3,41","0,63","0,63","0,00","1,29",IRRIGUO,DIP.TO DELL'ACQUA E DEI RIFIUTI,,inv_2014-12.pdf,0,,,
ROSAMARINA,S. LEONARDO,"100,00","65,76","68,09","-2,33","74,83",POT. - IRR.,DIP.TO DELL'ACQUA E DEI RIFIUTI,,inv_2014-12.pdf,0,,,
Scarto anno precedente,Scarto mese preced.,,,,,,,,,inv_2014-12.pdf,0,,,
-9%,-3%,TOTALI,"300,15","308,50","-8,35","331,41",,,,inv_2014-12.pdf,0,,,
,,,,,,,,(*)=volume al netto interrimento,,inv_2014-12.pdf,0,,,
,,,,,,,,"(**)=a quota 85,10 interrimento",,inv_2014-12.pdf,0,,,
PROSPETTO VOLUMI INVASATI NELLE DIGHE DELLA SICILIA,,,,,,,,,,inv_2014-07.pdf,0,,,
D I G A,CORSO D'ACQUA,"CAPACITA'
TOTALE D'INVASO
(Mmc)",VOLUME Mmc,,,,UTILIZZAZIONE,ENTE GESTORE,,inv_2014-07.pdf,0,,,
,,,"luglio
2014","giugno
2014","scarto
mese prec.","luglio
2013",,,,inv_2014-07.pdf,0,,,
SCANZANO,ELEUTERIO,"18,00","7,33","9,15","-1,82","6,64",IRR. - POT.,DIP.TO DELL'ACQUA E DEI RIFIUTI,,inv_2014-07.pdf,0,,,
PIANA DEGLI ALBANESI,BELICE DESTRO,"32,80","22,27","23,66","-1,39","22,55",IRR. - POT. - ELETTR.,E.N.E.L,,inv_2014-07.pdf,0,,,
POMA,JATO,"72,50","64,76","69,65","-4,89","62,72",IRR. - POT.,DIP.TO DELL'ACQUA E DEI RIFIUTI,,inv_2014-07.pdf,0,,,
ARANCIO,CARBOJ,"34,80","25,70","27,43","-1,73","24,23",IRRIGUO,DIP.TO DELL'ACQUA E DEI RIFIUTI,,inv_2014-07.pdf,0,,,
NICOLETTI,CRISA',"20,20","12,65","12,92","-0,27","12,28",IRRIGUO,DIP.TO DELL'ACQUA E DEI RIFIUTI,,inv_2014-07.pdf,0,,,
S. ROSALIA,IRMINIO,"20,00","19,34","19,93","-0,59","15,63",IRRIGUO,DIP.TO DELL'ACQUA E DEI RIFIUTI,,inv_2014-07.pdf,0,,,
TRINITA',DELIA,"18,00","8,86","8,92","-0,06","11,15",IRRIGUO,DIP.TO DELL'ACQUA E DEI RIFIUTI,,inv_2014-07.pdf,0,,,
OGLIASTRO,GORNALUNGA,"110,00","38,28","40,10","-1,82","42,88",IRRIGUO,C.B.7- CALTAGIRONE,,inv_2014-07.pdf,0,,,
RUBINO,BIRGI,"11,50","10,78","11,23","-0,45","10,29",IRRIGUO,C.B. 1 - TRAPANI,,inv_2014-07.pdf,0,,,
COMUNELLI,COMUNELI,"8,00","5,95","6,24","-0,29","6,04",IRRIGUO,DIP.TO DELL'ACQUA E DEI RIFIUTI,,inv_2014-07.pdf,0,,,
CIMIA,CIMIA,"10,00","6,79","5,60","1,19","9,43",IRRIGUO,DIP.TO DELL'ACQUA E DEI RIFIUTI,,inv_2014-07.pdf,0,,,
DISUERI,GELA,"23,60","5,68","7,46","-1,78","3,13",IRRIGUO (*),DIP.TO DELL'ACQUA E DEI RIFIUTI,(*),inv_2014-07.pdf,0,,,
ANCIPA,TROINA,"30,40","22,91","26,01","-3,10","18,94",IRR. - POT. - ELETTR.,E.N.E.L.,,inv_2014-07.pdf,0,,,
POZZILLO,SALSO (SIMETO),"150,50","61,00","68,03","-7,03","78,44",IRR. - ELETTR.,E.N.E.L.,,inv_2014-07.pdf,0,,,
FANACO,PLATANI,"20,70","17,59","18,72","-1,13","18,15",POTABILE,SICILIACQUE,,inv_2014-07.pdf,0,,,
GARCIA,BELICE SINISTRO,"80,00","59,66","60,52","-0,86","57,99",POT. - IRR.,C.B. 2 - PALERMO,,inv_2014-07.pdf,0,,,
CASTELLO,MAGAZZOLO,"21,00","18,42","20,16","-1,74","17,62",POT. - IRR.,DIP.TO DELL'ACQUA E DEI RIFIUTI,,inv_2014-07.pdf,0,,,
PRIZZI,RAIA,"9,20","7,48","7,96","-0,48","6,81",IRR. - POT. - ELETTR.,E.N.E.L.,,inv_2014-07.pdf,0,,,
OLIVO,OLIVO,"15,00","4,41","4,60","-0,19","3,25",IRRIGUO,DIP.TO DELL'ACQUA E DEI RIFIUTI,,inv_2014-07.pdf,0,,,
LEONE,VERDURA,"4,19","3,58","3,98","-0,40","3,69",POT. - ELETTR.,SICILIACQUE,,inv_2014-07.pdf,0,,,
S. GIOVANNI,NARO,"16,30","15,00","15,68","-0,68","14,38",IRRIGUO,DIP.TO DELL'ACQUA E DEI RIFIUTI,,inv_2014-07.pdf,0,,,
GORGO LAGO,FOSSO GURRA,"3,41","1,21","1,34","-0,13","0,80",IRRIGUO,DIP.TO DELL'ACQUA E DEI RIFIUTI,,inv_2014-07.pdf,0,,,
ROSAMARINA,S. LEONARDO,"100,00","93,84","98,88","-5,04","90,45",POT. - IRR.,DIP.TO DELL'ACQUA E DEI RIFIUTI,,inv_2014-07.pdf,0,,,
Scarto anno precedente,Scarto mese preced.,,,,,,,,,inv_2014-07.pdf,0,,,
-1%,-6%,TOTALI,"533,49","568,17","-34,68","537,49",,,,inv_2014-07.pdf,0,,,
,,,,,,,,(*)=volume al netto interrimento,,inv_2014-07.pdf,0,,,
PROSPETTO VOLUMI INVASATI NELLE DIGHE DELLA SICILIA AL 1° GIUGNO 2016,,,,,,,,,,inv_2016-06.pdf,0,,,
D I G A,CORSO D'ACQUA,"CAPACITA'
TOTALE
D'INVASO (Mmc)",VOLUME Mmc,,,,UTILIZZAZIONE,ENTE GESTORE,,inv_2016-06.pdf,0,,,
,,,"giugno
2016","maggio
2016","scarto
mese prec.","giugno
2015",,,,inv_2016-06.pdf,0,,,
SCANZANO,ELEUTERIO,"18,00","8,98","9,48","-0,50","6,15",IRR. - POT.,DIP.TO DELL'ACQUA E DEI RIFIUTI,,inv_2016-06.pdf,0,,,
PIANA DEGLI ALBANESI,BELICE DESTRO,"32,80","17,99","19,64","-1,65","21,91",IRR. - POT. - ELETTR.,E.N.E.L,,inv_2016-06.pdf,0,,,
